pre_type,synapses,neurons,in_flyvis
PLP001,3,1,False
PLP004,13,2,False
PLP005,67,2,False
PLP052,1,1,False
PLP058,1,1,False
PLP064_a,1,1,False
PLP069,12,3,False
PLP079,2,2,False
"PLP084,PLP085",1,1,False
PLP086b,1,1,False
PLP089b,1,1,False
PLP094,1,1,False
PLP095,759,2,False
PLP115_a,1,1,False
PLP119,6,2,False
"PLP120,PLP145",376,4,False
PLP129,9,2,False
PLP130,3,2,False
PLP131,78,2,False
PLP144,6,2,False
PLP157,3,2,False
PLP162,1,1,False
PLP169,7,2,False
PLP171,2,1,False
PLP174,1,1,False
PLP177,52,2,False
PLP180,3,3,False
PLP182,2,1,False
"PLP185,PLP186",32,4,False
"PLP198,SLP361",2,2,False
PLP199,2,2,False
PLP215,1,1,False
PLP231,250,4,False
PLP251,352,2,False
aMe10,10,2,False
aMe12,2511,7,False
aMe17c,1,1,False
aMe19a,3,2,False
aMe19b,1,1,False
aMe20,726,2,False
aMe22,9,2,False
aMe24,7,2,False
aMe26,127,5,False
aMe5,46,20,False
aMe6a,3,2,False
aMe9,102,4,False
